Unnamed: 0,Name,Team(s),Matches,Runs,Bat Avg,Wickets,Bowl Avg
163,S P Fleming,CSK,10,196,21.78,0,
164,A Flintoff,CSK,3,62,31.0,2,52.5
165,J E C Franklin,MIN,20,327,29.73,9,24.22
166,Gagandeep Singh,KXI,4,0,,3,47.0
167,R D Gaikwad,CSK,52,1797,39.07,0,
168,G Gambhir,"DDV, KKR",154,4217,31.01,0,
169,C  Ganapathy,CSK,1,0,,0,
170,S C Ganguly,"KKR, PWI",59,1349,25.45,10,36.3
171,P K Garg,"SUN, DDV",23,273,15.17,0,
172,G H S Garton,RCB,5,2,2.0,3,45.0
173,C M  Gautam,"DDV, MIN",13,169,16.9,0,
174,R S Gavaskar,KKR,2,2,2.0,0,
175,C H Gayle,"KKR, RCB, KXI",142,4965,39.72,18,40.5
176,B Geeves,DDV,2,0,,1,91.0
177,A N Ghosh,KKR,2,7,3.5,0,
178,H H Gibbs,"DCH, MIN",36,886,27.69,0,
179,A C Gilchrist,"DCH, KXI",80,2069,27.22,1,0.0
180,Y  Gnaneswara Rao,KTK,2,19,19.0,0,
181,K  Goel,KXI,22,218,14.53,0,
182,R V  Gomez,"KTK, PWI",13,50,10.0,5,25.8
183,M Gony,"CSK, DCH, KXI, GUJ",44,99,9.9,37,34.78
184,S Gopal,"MIN, RRO, SUN",49,180,12.86,49,26.12
185,S P Goswami,"RCB, KKR, RRO, SUN",31,293,14.65,0,
186,K Gowtham,"RRO, KXI, LSG",35,247,13.72,21,37.1
187,R Goyal,MIN,1,0,,0,
188,C Green,MIN,16,452,50.22,6,60.17
189,C J Green,KKR,1,0,,0,
190,M J Guptill,"MIN, KXI, SUN",13,270,22.5,0,
191,Gurkeerat Singh,"KXI, RCB",41,511,21.29,5,19.4
192,H F Gurney,KKR,8,1,,7,34.0
193,B J Haddin,KKR,1,18,18.0,0,
194,A D Hales,SUN,6,148,24.67,0,
195,P S P Handscomb,RPS,2,6,6.0,0,
196,R Hangargekar,CSK,2,0,,3,20.0
197,Harbhajan Singh,"MIN, CSK, KKR",163,833,15.72,150,26.97
198,Harmeet Singh,"DCH, KXI",27,18,4.5,26,26.81
199,Harmeet Singh,RRO,1,0,,1,34.0
200,Harpreet Brar,KXI,28,158,17.56,18,32.89
201,Harpreet Singh,"KKR, PWI, KXI",7,96,19.2,0,
202,D J Harris,DCH,4,111,27.75,0,
203,R J Harris,"DCH, KXI",37,117,9.75,45,23.27
204,S M Harwood,RRO,3,9,,3,24.33
205,J W Hastings,"CSK, KKR",3,0,,3,22.0
206,M L Hayden,CSK,32,1107,36.9,0,
207,J R Hazlewood,"CSK, RCB",27,19,,35,23.14
208,T M Head,RCB,10,205,29.29,2,40.5
209,T Henderson,RRO,2,11,5.5,1,40.0
210,B E Hendricks,KXI,7,1,1.0,9,26.11
