match_id,season,balls_per_over,city,dates,match_referees,reserve_umpires,tv_umpires,umpire1,umpire2,winner,result,player_of_match,toss_decision,toss_winner,dl_applied,venue,team_a,team_b,target_overs,target_runs,win_by_runs,win_by_wickets
54,IPL-2017,6,Pune,2017-05-14,M Nayyar,N Pandit,KN Ananthapadmanabhan,AY Dandekar,A Deshmukh,Rising Pune Supergiant,normal,JD Unadkat,field,Rising Pune Supergiant,0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Kings XI Punjab,20.0,74,0,9
55,IPL-2017,6,Delhi,2017-05-14,AJ Pycroft,R Pandit,KN Ananthapadmanabhan,CK Nandan,C Shamshuddin,Royal Challengers Bangalore,normal,HV Patel,bat,Royal Challengers Bangalore,0,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore,20.0,162,10,0
56,IPL-2017,6,Mumbai,2017-05-16,J Srinath,YC Barde,CK Nandan,S Ravi,C Shamshuddin,Rising Pune Supergiant,normal,Washington Sundar,field,Mumbai Indians,0,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiant,20.0,163,20,0
57,IPL-2017,6,Bangalore,2017-05-17,M Nayyar,KN Ananthapadmanabhan,A Nand Kishore,AK Chaudhary,Nitin Menon,Kolkata Knight Riders,normal,NM Coulter-Nile,field,Kolkata Knight Riders,1,M Chinnaswamy Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,6.0,48,0,7
58,IPL-2017,6,Bangalore,2017-05-19,Chinmay Sharma,KN Ananthapadmanabhan,C Shamshuddin,NJ Llong,Nitin Menon,Mumbai Indians,normal,KV Sharma,field,Mumbai Indians,0,M Chinnaswamy Stadium,Mumbai Indians,Kolkata Knight Riders,20.0,108,0,6
59,IPL-2017,6,Hyderabad,2017-05-21,J Srinath,A Nand Kishore,AK Chaudhary,NJ Llong,S Ravi,Mumbai Indians,normal,KH Pandya,bat,Mumbai Indians,0,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Rising Pune Supergiant,20.0,130,1,0
60,IPL-2018,6,Mumbai,2018-04-07,RB Richardson,UV Gandhe,AK Chaudhary,CB Gaffaney,A Nand Kishore,Chennai Super Kings,normal,DJ Bravo,field,Chennai Super Kings,0,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,20.0,166,0,1
61,IPL-2018,6,Chandigarh,2018-04-08,J Srinath,N Pandit,Nitin Menon,KN Ananthapadmanabhan,RJ Tucker,Kings XI Punjab,normal,KL Rahul,field,Kings XI Punjab,0,Punjab Cricket Association IS Bindra Stadium,Delhi Daredevils,Kings XI Punjab,20.0,167,0,6
62,IPL-2018,6,Kolkata,2018-04-08,V Narayan Kutty,K Srinath,S Ravi,A Deshmukh,C Shamshuddin,Kolkata Knight Riders,normal,SP Narine,field,Kolkata Knight Riders,0,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders,20.0,177,0,4
63,IPL-2018,6,Hyderabad,2018-04-09,S Chaturvedi,R Pandit,CK Nandan,NJ Llong,VA Kulkarni,Sunrisers Hyderabad,normal,S Dhawan,field,Sunrisers Hyderabad,0,Rajiv Gandhi International Stadium,Rajasthan Royals,Sunrisers Hyderabad,20.0,126,0,9
