Unnamed: 0,balls_per_over,city,dates,match_referees,reserve_umpires,tv_umpires,umpires,winner,player_of_match,toss_decision,toss_winner,venue,team_a,team_b,target_overs,target_runs
33,6,Rajkot,2017-04-29,M Nayyar,N Pandit,A Nand Kishore,"AK Chaudhary, CB Gaffaney",,KH Pandya,bat,Gujarat Lions,Saurashtra Cricket Association Stadium,Gujarat Lions,Mumbai Indians,20.0,154
34,6,Chandigarh,2017-04-30,S Chaturvedi,K Srinivasan,Nitin Menon,"YC Barde, CK Nandan",Kings XI Punjab,Sandeep Sharma,field,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,20.0,68
35,6,Hyderabad,2017-04-30,J Srinath,Navdeep Singh,VK Sharma,"AY Dandekar, S Ravi",Sunrisers Hyderabad,DA Warner,field,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kolkata Knight Riders,20.0,210
36,6,Mumbai,2017-05-01,M Nayyar,N Pandit,A Deshmukh,"AK Chaudhary, CB Gaffaney",Mumbai Indians,RG Sharma,bat,Royal Challengers Bangalore,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,20.0,163
37,6,Pune,2017-05-01,Chinmay Sharma,R Pandit,KN Ananthapadmanabhan,"M Erasmus, C Shamshuddin",Rising Pune Supergiant,BA Stokes,field,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Gujarat Lions,20.0,162
38,6,Delhi,2017-05-02,AJ Pycroft,K Srinivasan,CK Nandan,"YC Barde, Nitin Menon",Delhi Daredevils,Mohammed Shami,field,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,Sunrisers Hyderabad,20.0,186
39,6,Kolkata,2017-05-03,J Srinath,Navdeep Singh,S Ravi,"KN Ananthapadmanabhan, A Nand Kishore",Rising Pune Supergiant,RA Tripathi,field,Rising Pune Supergiant,Eden Gardens,Kolkata Knight Riders,Rising Pune Supergiant,20.0,156
40,6,Delhi,2017-05-04,M Nayyar,K Srinivasan,CK Nandan,"M Erasmus, Nitin Menon",Delhi Daredevils,RR Pant,field,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,Gujarat Lions,20.0,209
41,6,Bangalore,2017-05-05,V Narayan Kutty,N Pandit,AY Dandekar,"CB Gaffaney, C Shamshuddin",Kings XI Punjab,Sandeep Sharma,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,20.0,139
42,6,Hyderabad,2017-05-06,Chinmay Sharma,R Pandit,M Erasmus,"KN Ananthapadmanabhan, AK Chaudhary",Rising Pune Supergiant,JD Unadkat,field,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Rising Pune Supergiant,20.0,149
43,6,Delhi,2017-05-06,M Nayyar,K Srinivasan,YC Barde,"Nitin Menon, CK Nandan",Mumbai Indians,LMP Simmons,field,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,20.0,213
44,6,Bangalore,2017-05-07,AJ Pycroft,N Pandit,CB Gaffaney,"AY Dandekar, C Shamshuddin",Kolkata Knight Riders,SP Narine,field,Kolkata Knight Riders,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,20.0,159
45,6,Chandigarh,2017-05-07,J Srinath,Navdeep Singh,S Ravi,"A Nand Kishore, VK Sharma",Gujarat Lions,DR Smith,field,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Gujarat Lions,20.0,190
46,6,Hyderabad,2017-05-08,Chinmay Sharma,R Pandit,AK Chaudhary,"KN Ananthapadmanabhan, M Erasmus",Sunrisers Hyderabad,S Dhawan,bat,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Mumbai Indians,20.0,139
47,6,Chandigarh,2017-05-09,J Srinath,Navdeep Singh,VK Sharma,"A Nand Kishore, S Ravi",Kings XI Punjab,MM Sharma,field,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,20.0,168
48,6,Kanpur,2017-05-10,V Narayan Kutty,K Srinivasan,Nitin Menon,"YC Barde, AK Chaudhary",Delhi Daredevils,SS Iyer,field,Delhi Daredevils,Green Park,Gujarat Lions,Delhi Daredevils,20.0,196
49,6,Mumbai,2017-05-11,M Nayyar,N Pandit,VK Sharma,"A Deshmukh, A Nand Kishore",Kings XI Punjab,WP Saha,field,Mumbai Indians,Wankhede Stadium,Mumbai Indians,Kings XI Punjab,20.0,231
50,6,Delhi,2017-05-12,AJ Pycroft,R Pandit,C Shamshuddin,"KN Ananthapadmanabhan, CK Nandan",Delhi Daredevils,KK Nair,bat,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,Rising Pune Supergiant,20.0,169
